,Building_Height_(m),Number_of_Floors,Number_of_People_Rescued,Number_of_Fire_Extinguishers,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm),repair,Building_Type_Industrial,Building_Type_Residential,Fire_Occurrence_Yes,Type_of_Fire_Electrical,Type_of_Fire_Negligence,Fire_Scale_Medium,Fire_Scale_Small,Sprinkler_System_Present_Yes,Electrical_Equipment_Inspection_Conducted_Yes,Gas_Equipment_Inspection_Conducted_Yes
181,13,4,24,6,7,8,20.58136720172194,0.618812251701786,3.091417015144722,69.69406156491945,0.75,0,0,1,0,1,0,0,1,1,0
184,24,7,6,5,5,5,24.771721802300902,0.5061398824319727,2.5049188611164137,56.64789454211564,0.25,0,1,1,0,0,1,0,0,0,0
186,40,12,16,7,9,7,24.419957853421863,0.6356720162898746,1.917267625902572,28.63630345839379,0.0,1,0,1,0,1,1,0,0,0,1
189,8,2,15,6,2,8,24.48811635494121,0.7623495532351586,3.530962093961092,2.3,0.75,0,1,1,1,0,0,0,0,0,0
191,11,3,22,7,6,3,17.29987097206805,0.8900052998301543,2.925645610972813,84.9296214513,0.75,1,0,1,0,1,0,1,1,0,0
195,8,2,43,6,4,3,19.45073158608549,0.8071495298693137,4.9,22.519714613819275,0.75,1,0,1,0,1,1,0,1,0,0
197,7,2,25,6,7,6,22.707999509871893,0.9431949651352916,3.19651794521902,58.92378852526223,0.25,0,0,1,0,0,1,0,1,0,0
199,16,5,31,7,5,16,23.983804084566906,0.6725864853860354,2.463037435665918,32.1079232577011,0.0,0,1,1,0,1,0,0,0,0,0
200,8,2,21,6,2,9,23.08387343652385,0.5870798828688593,4.062214226972307,64.46947020268256,0.25,0,1,1,0,1,0,1,1,0,0
205,26,7,0,7,5,2,15.1,0.5718043027922738,3.0041461402005813,30.974575150777905,0.25,0,1,1,0,1,0,1,0,0,0
207,21,6,30,2,1,1,20.625333503405244,0.7542074405854039,2.2001413801475147,12.675582297014325,0.75,1,0,1,0,0,0,0,0,0,0
209,14,4,12,5,2,2,16.06476126314905,0.6230721458217764,3.39517231419594,44.41175204673778,0.5,0,0,1,0,1,0,1,0,1,0
210,46,13,42,4,12,7,19.53511235700344,0.8676112015930285,3.4947752288443303,7.967907379233793,0.0,0,0,1,0,1,1,0,0,0,1
211,18,5,32,5,4,2,22.93483991545688,0.8975181411443751,3.3268054515569583,49.754002072353245,0.0,0,0,1,0,0,0,1,0,0,0
212,27,8,18,5,5,0,23.95654462318685,0.7451188849531445,4.9,12.623695164257963,0.0,0,1,1,0,0,0,0,0,0,0
214,49,14,9,4,10,9,20.39367298192217,0.7320417543470346,2.415577350437565,47.15744827878106,0.25,1,0,1,0,0,0,1,1,0,0
216,24,7,49,4,7,1,19.78115802668384,0.938457545453181,3.962226600770353,2.3,0.25,1,0,1,0,1,1,0,0,0,1
218,26,7,35,8,4,0,16.915062229279343,0.7246924763364164,2.22875276977032,68.85618823766893,0.5,0,0,1,1,0,0,1,1,0,0
226,28,8,16,2,9,14,28.196886150471247,0.8103198260921464,3.441492123371588,79.44342109071194,0.25,0,0,1,0,1,1,0,1,0,1
229,12,4,8,10,10,8,16.78181093286011,0.8466583502349675,4.627923372569963,36.91555416142042,0.25,0,1,1,0,1,0,1,1,1,1
231,33,10,20,8,6,16,29.7,0.7268302633768273,1.864025595638143,29.20717819868979,0.25,1,0,1,0,1,1,0,1,1,1
233,24,7,25,8,12,5,18.158978717886924,0.9270756304011109,3.162501366619217,32.380029015217765,0.25,0,0,1,0,0,1,0,1,0,1
236,18,6,19,2,6,4,15.1,0.7981402417390946,2.842642126397501,18.41860762933936,0.75,0,1,1,0,1,0,1,0,1,1
244,19,5,23,9,6,7,19.52244998489501,0.8317126036295561,3.813096013180719,46.04663024787182,0.0,0,1,1,1,0,0,1,1,1,1
245,19,5,33,8,10,14,21.70547091656401,0.5458531754279714,4.2484371585695175,74.09427048681451,0.75,0,0,1,0,1,1,0,1,0,1
252,35,10,32,3,9,7,28.498172228123465,0.7714931940492308,2.5201010315765378,31.60526316600837,0.25,0,0,1,0,0,1,0,0,0,0
256,38,11,27,1,11,10,21.73711162049562,0.7799088901616997,4.782288429681882,61.26131066555112,0.0,1,0,1,0,0,0,1,1,0,1
258,35,10,23,5,16,18,22.90772809528532,0.9940000000000001,2.2052573737447423,94.1,0.25,1,0,1,0,1,0,1,1,1,1
259,15,4,17,7,3,5,22.64629244833773,0.5812074936772935,4.9,52.54884828828377,0.0,0,0,1,0,1,0,1,0,1,1
260,8,3,17,8,2,5,21.605814814860885,0.7391613304527935,2.552548105774538,78.58174126962811,0.0,1,0,1,0,0,0,0,1,0,0
261,20,5,14,8,2,1,18.491257376503576,0.5591468912012622,3.3376174381832784,21.287966631151363,0.75,0,1,1,0,1,0,1,1,0,0
263,8,2,34,8,5,0,24.73773887853183,0.6773474584177203,1.433107823807514,41.45735652155145,0.5,0,0,1,0,0,0,1,1,0,0
264,22,7,21,4,7,11,24.7415147075755,0.9113302950714516,2.766982803448604,23.980429383904955,0.0,0,0,1,0,1,0,1,1,1,1
267,5,1,43,4,1,0,26.31802140365041,0.5226983609919222,1.112569406824165,26.525298359525515,0.75,0,0,1,0,1,0,1,0,0,0
269,28,8,0,5,7,4,25.05832563495899,0.7838346907770303,2.485615037914004,10.219528836984384,0.75,1,0,1,0,1,0,1,0,0,1
274,28,9,30,5,3,7,19.410751945799547,0.40399999999999997,3.433860574944772,84.50650542066735,0.0,1,0,1,0,0,0,0,1,0,1
276,21,6,10,6,7,0,21.52168787101132,0.9940000000000001,0.918989736124032,55.938023151859696,0.75,0,0,1,0,0,0,0,1,1,1
277,23,7,31,5,8,9,19.127480953664936,0.6918844316877052,4.536226343137646,94.1,0.75,0,0,1,0,1,0,0,1,1,0
278,44,12,19,7,11,9,20.100542770885745,0.6314761960159287,1.5700499246922224,34.624998654465095,0.75,0,0,1,0,0,0,0,1,0,1
283,21,6,42,1,6,8,21.929017908381088,0.5407794521282998,1.815724289887964,71.74012284136384,0.25,0,1,1,0,1,0,0,1,1,1
284,43,13,0,7,12,10,19.079014359423347,0.6788277725018277,3.3750882979625016,52.23373511867483,0.75,0,1,1,0,0,0,0,0,1,0
286,27,7,32,4,9,4,21.334740009639354,0.9940000000000001,1.1352633090263036,8.30212892378719,0.25,0,0,1,0,0,0,0,0,0,1
287,30,8,40,2,6,6,19.94739360980451,0.599121241841011,3.335933620455656,35.16280636605887,0.5,0,0,1,0,1,0,1,1,0,0
290,12,3,9,2,1,0,25.79010128096732,0.7673109251464498,1.9121946438904005,44.377641859994,0.0,0,1,1,0,0,0,1,0,0,0
291,31,9,27,6,9,8,20.48026288641765,0.7782920285127081,4.12409355438178,45.25808927434266,0.25,0,1,1,1,0,0,1,0,1,1
292,19,6,38,2,6,3,16.65983774128763,0.9940000000000001,3.247680066049809,35.27171414807927,0.25,1,0,1,0,1,0,1,0,0,1
294,9,3,14,10,6,1,16.40644183852974,0.817729025201687,1.4629790884932974,45.005940167119626,0.25,0,0,1,0,1,0,1,0,0,0
296,48,14,13,5,10,13,25.441732603534824,0.40399999999999997,3.810952970845184,2.3,0.75,0,0,1,0,0,0,1,1,1,0
298,32,9,20,7,5,0,18.01967449336248,0.684195968884469,3.9986782937727567,84.21835877193985,0.0,0,0,1,0,1,0,1,0,0,1
299,17,5,31,3,4,10,20.02462874521952,0.941545613744954,4.9,80.24778915087255,0.0,1,0,1,0,0,0,0,1,0,1
301,26,8,5,5,4,1,15.1,0.40399999999999997,2.2744698480213943,51.5844741070648,0.0,0,1,1,0,0,0,1,1,0,1
306,29,9,35,1,8,17,29.7,0.877478263838482,0.6,29.72705418594697,0.75,1,0,1,0,0,1,0,0,0,0
311,38,11,34,5,7,2,23.93573152628685,0.5196354505715329,4.488648042379506,25.78225370759386,0.75,0,0,1,0,0,0,1,0,1,1
312,15,4,0,7,2,7,24.27818256222474,0.4728860107523573,3.141242953593226,27.531630867515915,0.25,0,1,1,0,1,0,1,0,0,0
314,13,4,0,10,5,6,15.1,0.7515182986057402,2.718012195181076,2.3,0.75,0,0,1,0,1,0,1,1,0,0
320,19,6,38,6,8,9,18.51425465123008,0.7126211858074211,0.6173599012670916,75.25608459816632,0.75,0,0,1,0,1,0,0,1,0,0
326,20,6,46,4,1,1,27.221657184133107,0.5884724960890505,4.766115217178124,47.998738952048434,0.75,1,0,1,0,1,0,0,0,1,0
329,37,11,13,5,7,8,24.354240102772863,0.4685079701724659,3.8747060276084113,65.11622591028559,0.5,0,0,1,0,1,0,1,1,1,1
330,35,10,0,2,9,17,27.952283530183173,0.9940000000000001,2.7356135721858923,56.34467380233535,0.75,0,1,1,0,1,0,0,1,1,1
335,9,3,39,3,4,0,17.144256223178424,0.6478640055457967,4.9,73.36795752813504,0.25,0,0,1,0,0,0,0,1,1,1
336,45,13,3,9,8,3,24.690464512175453,0.9163221792021597,2.272622052792216,3.868919237341885,0.75,0,0,1,0,0,1,0,0,0,0
338,24,7,29,3,6,0,19.90252283152609,0.9198017695121985,2.840383339163908,57.34680138686507,0.75,0,0,1,0,0,0,0,1,1,1
343,35,10,32,7,10,12,21.01807174436248,0.7082343394943998,2.50127654423886,78.94848569596115,0.75,1,0,1,0,1,0,1,1,0,1
347,37,11,33,6,11,2,29.7,0.4858541910828872,1.1489669081977876,66.40644328602399,0.5,0,0,1,0,0,0,1,1,1,1
353,34,10,13,8,7,6,24.824027032211543,0.6761730050456201,3.269233885364728,63.89991697685582,0.25,0,0,1,0,1,0,1,1,0,1
355,20,6,8,5,4,0,22.892913171691585,0.7957211210654943,2.6192576197772515,52.54693550696601,0.5,1,0,1,0,0,0,1,1,1,0
357,31,9,16,7,8,11,21.58778186223388,0.6973572012752336,2.7612179970693926,44.93290296649394,0.25,1,0,1,0,0,0,1,1,0,1
358,38,11,7,6,10,18,24.856033954033443,0.532214607319869,2.5018221602541377,65.18383232407243,0.25,0,0,1,0,1,1,0,1,1,1
359,22,7,27,5,10,3,20.34785442400264,0.9762733723343152,0.6,40.54233420564216,0.75,0,1,1,0,0,0,1,0,1,1
362,38,11,23,10,10,13,24.340795340593125,0.4417572832763156,4.646567625367775,47.55623209869697,0.25,1,0,1,0,1,1,0,1,1,0
364,31,9,26,3,7,6,19.1046479286433,0.8765164292855491,3.92355309769132,32.161760106222,0.0,0,0,1,0,1,0,1,0,0,0
365,49,14,45,4,17,12,22.27158570581209,0.737075660287416,4.9,53.47920034578984,0.0,0,1,1,0,0,0,0,1,1,1
368,38,11,3,9,16,20,16.9009055103925,0.8367635299525708,2.8689075260218053,64.44316674786211,0.75,0,1,1,0,1,0,0,1,1,1
370,7,2,24,4,3,9,15.1,0.6603219627971647,3.911675950200399,94.1,0.25,0,1,1,0,1,0,0,1,0,0
371,36,11,6,5,5,0,21.320355184804207,0.6884754275347111,2.834983255267685,8.127343813776697,0.5,1,0,1,1,0,1,0,1,0,1
372,34,10,26,6,10,20,15.1,0.6220177027944547,2.826259978617819,94.1,0.0,1,0,1,1,0,0,0,1,1,1
375,19,5,27,4,1,7,24.3033391280321,0.6371789932433505,1.4336911059001065,48.03289828008103,0.25,0,0,1,0,0,0,1,1,0,0
381,9,2,22,6,4,0,17.09649439411227,0.5487484302500365,2.8220419136285395,39.09502493701166,0.25,0,1,1,0,1,0,1,1,1,1
388,11,3,27,9,9,14,21.86547911211853,0.7858505138873904,3.899504686332599,84.70759428481979,0.25,0,0,1,0,1,0,1,1,0,0
389,31,9,35,10,9,6,27.72810300324766,0.7702860473121287,3.563254194837357,36.89334905524211,0.5,1,0,1,1,0,0,1,0,1,1
390,11,3,17,8,5,5,15.532865267233088,0.7272819604189991,2.962714658888104,69.39966273727319,0.25,0,0,1,0,1,1,0,1,0,0
391,25,7,23,5,3,8,22.019740996066275,0.7497050384583183,1.788810741676264,16.780175682977926,0.75,0,0,1,0,1,1,0,0,0,0
393,38,11,0,5,4,6,17.69007594010249,0.8174909221144637,2.2733542802799054,13.754885211277838,0.0,0,0,1,0,1,0,0,1,0,0
396,22,7,45,4,10,11,17.44996469171813,0.9151660074791537,2.913016144911047,82.91474743406278,0.25,0,1,1,0,1,0,1,1,1,1
397,28,8,43,5,9,6,19.55169465767346,0.8878032960021163,2.0541824793656938,58.60062478969266,0.0,1,0,1,0,1,1,0,1,0,0
400,5,1,28,5,1,0,22.673346015265206,0.9312138986577309,1.9188430104180527,23.460162208079105,0.25,1,0,1,0,1,0,1,0,0,0
402,36,10,50,4,7,0,15.1,0.7011318622328123,1.714964411703524,58.28177589696431,0.25,0,0,1,0,0,0,0,1,0,1
403,15,4,35,6,2,0,25.33412093763876,0.5623953809579523,4.393915319454868,2.3,0.0,0,1,1,0,0,1,0,0,0,0
407,43,12,0,8,13,6,21.74687401806793,0.778603493624663,3.314762860554352,17.6909130130325,0.0,0,1,1,0,0,0,1,1,1,1
408,5,1,36,6,4,0,17.708125254148587,0.7893674107280846,4.11206789783863,70.42958079268001,0.75,0,0,1,0,0,1,0,0,0,0
410,42,12,40,7,6,0,20.608846904772737,0.5036102926136568,4.808549280989698,3.127494865928384,0.25,1,0,1,0,0,1,0,1,0,0
417,22,7,19,7,7,6,20.665607091509823,0.6996830573188103,2.3254801140126293,58.961090286198825,0.25,0,1,1,1,0,0,0,1,1,0
418,25,7,12,3,7,5,24.484777021859387,0.5877969667096544,4.063482240506444,53.36291400800907,0.25,0,1,1,0,0,0,1,0,0,0
419,20,5,34,5,3,4,29.343680053105885,0.976745227431278,1.4137278717051749,33.78425152742217,0.25,1,0,1,0,0,0,1,0,0,0
421,43,12,31,8,14,13,23.60642508196427,0.9281476783082049,1.1330794941058349,57.36127678038485,0.5,1,0,1,0,1,0,0,1,1,1
422,28,8,0,8,10,9,21.24469839199737,0.8342265251843791,3.0690521659492265,52.9526147776344,0.25,0,1,1,0,0,0,1,1,1,1
424,5,1,16,7,1,7,24.95200891867117,0.9273407589935216,4.055379044882595,35.76782207242663,0.0,1,0,1,0,0,0,1,0,0,0
425,41,12,33,6,15,5,29.7,0.9940000000000001,3.208618124048722,62.63770723283761,0.5,0,0,1,0,1,0,1,1,0,1
429,5,1,18,10,1,0,24.06025631222182,0.562740815702532,4.385695672305286,58.64151703323702,0.25,1,0,1,0,1,1,0,1,1,0
432,27,8,21,7,5,6,16.902373496808107,0.40399999999999997,4.064824728568368,59.93110444770543,0.5,0,1,1,1,0,0,0,1,0,0
434,28,8,23,4,7,5,18.647269320970764,0.7669024852026233,3.0486167177672128,33.966744739914766,0.25,0,0,1,0,0,0,0,1,1,1
436,25,7,30,3,1,7,29.7,0.6124710192033533,1.9102192647175056,26.51841723441799,0.25,1,0,1,0,0,0,1,0,0,0
437,28,8,26,7,7,12,17.07234826351576,0.8548554262689195,0.9075857206491682,85.24464433505781,0.0,1,0,1,0,1,0,1,1,0,0
438,25,7,6,8,5,8,21.58140416995247,0.8700343217227471,3.4543673367913827,7.965577061839397,0.25,0,1,1,0,1,0,0,1,0,0
439,49,14,20,6,14,4,22.221640531770174,0.9135960193099405,3.622189999572128,6.373849701245721,0.25,0,1,1,0,1,1,0,1,1,1
440,28,8,32,5,8,7,18.377969829783524,0.6046672484194278,3.4079365244455664,28.7898832036389,0.25,0,0,1,0,1,1,0,1,0,1
442,47,14,27,7,16,16,22.845275573596943,0.8098700313240694,3.594206813924248,87.4055466208496,0.75,0,0,1,0,1,0,0,0,1,1
443,11,3,28,5,3,4,18.199634897095866,0.9940000000000001,3.5238264518912423,30.45748880566876,0.25,1,0,1,1,0,0,0,1,0,1
446,32,9,38,5,5,10,17.489777203261273,0.4951360061243688,2.3688865779603256,6.962766215307994,0.25,0,0,1,0,1,0,0,1,0,0
449,25,7,12,6,9,8,19.169118378940706,0.7657847979119288,2.282220100787077,59.26491257666743,0.75,0,1,1,1,0,0,1,1,0,0
450,24,7,27,2,1,0,16.462191469255064,0.5515129085297065,2.3072201950979427,59.27149279297019,0.75,0,0,1,0,1,0,1,1,1,1
452,45,13,25,3,8,11,29.7,0.482045559621197,2.708074037111613,67.64769607617936,0.0,0,1,1,0,0,0,1,1,0,0
453,33,9,33,6,11,7,15.29492567874357,0.5959489895589575,2.601553005920636,13.79301582378204,0.25,0,1,1,0,0,1,0,1,0,1
455,32,9,3,4,14,16,21.40816054205873,0.9940000000000001,1.7917343998854929,28.601545163495203,0.75,0,0,1,0,1,1,0,1,1,1
456,12,3,35,4,4,3,23.269817567976933,0.818321483288304,2.932513506157433,43.61998349266849,0.25,1,0,1,0,1,0,1,1,0,0
457,36,10,0,10,11,12,23.37291931445917,0.7497496612457064,3.8333092624656833,50.14278640997024,0.75,0,0,1,1,0,0,1,1,1,1
459,14,5,37,6,6,4,23.51554204405273,0.6766195590465693,3.4963075202459644,59.232325939102765,0.25,1,0,1,0,0,1,0,1,0,0
460,5,1,23,7,1,2,27.73427559544661,0.6589146335265997,3.705591427998505,27.000351535592564,0.0,0,1,1,0,0,1,0,0,0,0
462,5,1,39,4,1,1,19.05127648518559,0.661297689403777,3.941761357081834,40.72548442201519,0.0,1,0,1,0,1,0,0,1,0,0
467,42,12,23,5,14,7,17.833746467135835,0.8097410673636521,3.425296728002289,27.78213572421618,0.5,0,0,1,0,1,1,0,1,0,0
469,38,11,11,6,10,11,19.6155357443212,0.728015057412333,2.614170715851811,56.72036133977049,0.75,0,1,1,0,0,0,0,1,0,0
471,40,11,27,8,12,12,23.083593926108367,0.4647246825918363,2.462925951342248,45.08849402330196,0.25,0,1,1,0,0,0,0,1,1,1
475,20,6,13,5,6,4,23.329053094862854,0.8056863406884799,3.3547022786027623,51.94496652334257,0.0,0,1,1,0,0,1,0,1,0,0
476,14,4,17,5,3,9,22.94794962835626,0.9208055981424659,2.3928522520161324,37.99117496672557,0.75,0,0,1,0,1,0,1,1,0,0
