Building_Type,Building_Height_(m),Number_of_Floors,Fire_Occurrence,Type_of_Fire,Fire_Scale,Number_of_People_Rescued,Number_of_Fire_Extinguishers,Sprinkler_System_Present,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Electrical_Equipment_Inspection_Conducted,Gas_Equipment_Inspection_Conducted,Recent_Repair_Replacement_History,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm)
Commercial,14,4,Yes,Chemical,Small,29,5,No,2,4,No,No,None,19.7,60.9,0.6,89.9
Industrial,18,5,Yes,Negligence,Medium,37,5,Yes,3,2,No,No,None,17.0,54.6,2.3,94.1
Industrial,44,13,Yes,Electrical,Large,44,2,Yes,12,10,Yes,Yes,Over 3 years,20.5,97.2,2.7,58.4
Residential,10,3,Yes,Chemical,Medium,12,9,No,3,1,No,No,None,15.1,64.7,4.9,36.3
Residential,8,2,No,Negligence,Medium,19,9,Yes,2,6,No,No,Over 3 years,28.9,58.1,1.5,12.3
Residential,49,14,No,Negligence,Large,25,8,Yes,17,20,No,No,Over 3 years,27.3,90.5,2.5,21.3
Industrial,27,8,No,Negligence,Medium,22,5,No,7,15,No,No,Within 1 year,22.5,86.0,1.0,24.4
Commercial,19,5,No,Electrical,Small,41,9,No,1,1,No,No,Within 1 year,20.4,70.6,0.9,12.3
Residential,36,10,No,Chemical,Large,36,2,No,8,5,No,Yes,None,27.5,74.8,2.9,2.4
Commercial,33,9,Yes,Negligence,Medium,24,1,Yes,3,6,No,No,Over 3 years,15.8,56.8,4.5,2.3
Residential,26,7,Yes,Chemical,Medium,36,1,Yes,6,7,No,No,None,20.8,48.9,4.1,23.2
Commercial,9,3,No,Negligence,Medium,45,3,Yes,4,10,No,No,Over 3 years,16.36003553347013,71.97406829377206,3.543632047791159,49.44733517856465
Commercial,13,4,Yes,Chemical,Small,23,1,Yes,4,0,No,No,Within 1 year,15.85657312856038,73.21208578662264,4.804728842592688,46.9546654230843
Residential,39,11,Yes,Chemical,Large,11,8,Yes,13,14,Yes,Yes,Over 3 years,21.32215312206589,63.248730108716494,3.6152936563290528,32.959905199201806
Residential,14,4,No,Negligence,Medium,28,6,No,3,8,No,No,1-3 years,25.409436209767325,43.72957383368596,3.3969211464291336,38.5970233170253
Residential,33,9,Yes,Chemical,Small,50,1,Yes,8,6,Yes,No,Over 3 years,28.43898253624624,72.12578559050479,2.966034646487544,24.774649611694944
Residential,39,11,No,Chemical,Medium,23,3,No,6,6,No,No,Over 3 years,27.8745463368354,73.94437550029448,2.4396559431836176,2.3
Commercial,49,14,No,Electrical,Medium,15,5,No,13,14,Yes,Yes,Within 1 year,23.506255983535063,93.3635985361742,0.7981920975211754,27.848555688357028
Industrial,18,5,No,Chemical,Small,44,5,No,2,7,No,No,Over 3 years,25.90013307303771,77.27728085705289,0.6,32.883237035392305
Commercial,19,5,Yes,Negligence,Small,45,4,No,2,0,Yes,Yes,Within 1 year,26.105133395216413,82.42097794883007,4.9,10.615557972374283
Commercial,18,5,No,Chemical,Large,47,6,No,2,0,No,No,Over 3 years,17.582364520777407,64.66441502330201,3.491031168639629,17.449754463517
Commercial,5,1,Yes,Negligence,Large,27,8,No,2,8,No,No,Over 3 years,22.60582756540413,60.162215980218285,3.3243844152167683,50.21324975925928
Industrial,29,8,No,Negligence,Small,50,7,No,10,7,Yes,Yes,Within 1 year,23.09570108106262,78.05195877014086,1.4585098224228643,70.80083340711705
Residential,23,7,No,Electrical,Small,13,6,No,8,16,Yes,Yes,1-3 years,26.18593566898669,82.2278107717273,3.4918528283449684,16.625210470770714
Residential,5,1,No,Chemical,Medium,7,7,No,1,1,No,No,None,17.014136815835986,64.23050273837472,2.2591437221681985,35.781985157722666
Residential,31,8,Yes,Chemical,Small,0,10,Yes,4,1,No,No,None,15.1,64.03534379531062,2.827777149191315,2.3
Industrial,17,5,No,Electrical,Medium,50,6,Yes,1,0,No,No,Over 3 years,15.1,74.10217402270617,1.4972259788053126,10.962117847117188
Residential,5,1,No,Chemical,Medium,28,6,No,1,0,No,No,None,17.887038361385073,40.4,1.1969971168331095,28.75960474527893
Residential,12,4,No,Electrical,Large,35,10,No,6,4,No,No,Over 3 years,16.19871053106214,80.21863683048598,3.959915270810756,70.58764134708099
Commercial,37,10,No,Chemical,Large,48,5,Yes,11,9,No,Yes,Over 3 years,20.606419233872057,83.12198067046587,4.9,7.154731497046377
Residential,24,7,Yes,Negligence,Small,9,6,Yes,7,9,Yes,Yes,1-3 years,23.84304174658847,88.57058433021828,2.105606336414772,23.67418747474041
Residential,19,5,No,Negligence,Medium,33,8,Yes,6,7,Yes,No,Within 1 year,23.478074331673525,68.3318400518395,2.757082696577456,8.298692168922013
Residential,39,11,No,Negligence,Medium,18,4,Yes,9,2,No,Yes,1-3 years,15.1,40.4,3.587681056865879,17.600536367163063
Residential,28,8,No,Negligence,Small,25,5,No,5,10,Yes,Yes,Over 3 years,15.1,46.58882957192034,2.431249547831106,56.11516993352197
Commercial,37,11,No,Chemical,Small,31,3,Yes,5,9,No,No,Within 1 year,24.002378416739123,71.34138590790383,3.5707419097559208,7.850583280515874
Residential,15,5,Yes,Chemical,Small,0,5,Yes,5,4,No,Yes,None,16.774349602124598,59.37215223794124,2.3851565111868824,45.90207638936254
Commercial,34,9,No,Chemical,Small,44,3,No,9,0,No,No,Over 3 years,18.08588910858817,88.68752772729871,2.53841196427093,11.823920011599242
Industrial,34,9,No,Negligence,Large,45,10,Yes,5,6,No,No,Over 3 years,20.204529342905914,51.0430969716042,3.943204891878004,35.997407908989324
Residential,9,3,No,Negligence,Medium,21,8,No,1,0,No,No,None,16.742723676843703,40.4,2.8429346695696136,33.455198056255256
Commercial,25,7,No,Chemical,Medium,45,2,No,5,1,No,No,Over 3 years,22.483808688732985,99.4,2.542713941628369,2.3
Residential,9,3,Yes,Chemical,Small,36,1,No,1,6,No,No,None,23.069202523678698,84.15009077231133,0.6,28.03548554103607
Residential,31,8,No,Chemical,Medium,29,2,No,9,6,No,No,None,24.390095802338955,76.05705388518376,4.021016659299118,39.38592680295165
Commercial,20,6,Yes,Negligence,Small,27,8,No,5,8,No,No,Over 3 years,26.165117722243025,85.76896009986959,2.121600745087568,18.003388982823488
Residential,37,11,Yes,Negligence,Medium,0,7,Yes,10,4,No,Yes,Over 3 years,17.15378027401078,61.23664546079621,2.3694230352622894,56.9430499500689
Residential,39,11,No,Negligence,Medium,20,9,Yes,15,15,Yes,Yes,Within 1 year,19.2174706306444,69.23527473828084,3.353867196516635,31.74987795775825
Commercial,19,5,Yes,Negligence,Medium,42,5,Yes,7,8,No,No,Over 3 years,15.1,65.40192357323404,4.18282944077825,23.02050629051483
Residential,40,11,No,Chemical,Small,26,6,No,10,7,No,No,None,23.866434365753804,65.66956124883203,1.6568270282619872,20.68770930323497
Residential,39,12,No,Chemical,Small,22,9,No,11,4,No,No,Within 1 year,23.71556054240716,58.33587295875524,3.818194742586409,25.21231276772582
Residential,40,11,No,Negligence,Large,39,6,No,5,2,No,Yes,1-3 years,19.07446975506741,66.37280163975325,0.6144861675121693,18.249878447376805
Commercial,5,1,Yes,Chemical,Medium,25,5,No,1,1,No,No,None,16.94080245039869,78.96398875044929,2.691753047983908,31.045857373274945
Residential,28,8,No,Negligence,Large,39,9,No,7,2,No,Yes,Over 3 years,17.303603350147228,56.62802827644696,1.840504458229468,13.5807681387322
Residential,45,13,No,Chemical,Small,20,4,Yes,11,10,No,Yes,None,17.534441449452878,63.67896069444158,2.730568791998671,33.44498339866468
Residential,25,8,No,Electrical,Large,29,4,Yes,6,14,No,No,Over 3 years,18.386552239395183,87.37688216368,2.7886150607312907,47.288850526488645
Residential,49,14,No,Chemical,Large,0,9,Yes,17,20,Yes,Yes,None,17.09640449060953,53.356320200730025,0.6,44.16713763124341
Industrial,49,14,No,Negligence,Small,31,9,Yes,12,15,No,No,Over 3 years,24.37719852583202,77.89403759604453,1.4601979508711016,51.6399284611465
Residential,23,7,No,Negligence,Large,20,7,Yes,11,6,Yes,Yes,Over 3 years,18.410310745410992,82.55464328740081,3.1773785050040773,35.15656623826496
Commercial,18,5,Yes,Negligence,Small,20,4,No,3,0,No,No,None,20.79941327367458,86.46035498823056,2.950453671583217,44.89567593986874
Residential,26,7,Yes,Chemical,Small,16,1,No,3,0,Yes,Yes,Over 3 years,20.10527696436668,66.51052390346962,2.659968642448778,4.937372978080639
Commercial,49,14,Yes,Chemical,Small,13,10,Yes,14,20,No,No,Within 1 year,23.21254850919224,64.72939742108714,0.6,41.93512654284044
Industrial,44,12,Yes,Chemical,Large,38,9,Yes,11,18,Yes,No,Over 3 years,22.9345620728894,48.93728584158888,4.285302181001016,86.92764955712228
Commercial,49,14,No,Chemical,Small,28,3,No,8,17,Yes,Yes,Over 3 years,20.41425271130449,49.5226992148042,2.4000020036642007,49.28019737023981
Industrial,24,7,No,Electrical,Small,44,7,No,5,6,No,No,1-3 years,25.72126352652156,84.19186027919423,2.615688412656747,31.61862843693431
Commercial,29,8,No,Chemical,Medium,13,6,No,4,4,No,No,None,23.328397115003654,78.13720019984153,4.003703111778421,30.599625332902715
Commercial,20,6,Yes,Electrical,Large,15,5,No,4,0,Yes,Yes,Within 1 year,20.04800290231433,91.46357247471614,4.9,2.3
Residential,27,8,No,Electrical,Small,40,10,Yes,11,17,No,No,Within 1 year,15.1,67.41250247803971,2.965279353856805,63.52268226627401
Commercial,24,6,Yes,Negligence,Large,13,4,Yes,2,4,No,No,1-3 years,21.881876446025483,61.606521067552166,1.2152498934094935,33.811860547601
Commercial,23,6,No,Negligence,Large,32,6,Yes,8,14,No,Yes,1-3 years,29.629117334750063,99.4,0.9500948955504288,48.41107311082223
Commercial,29,8,Yes,Chemical,Large,25,4,Yes,10,15,No,No,None,24.77784323748508,99.4,1.3201366300332973,65.10466376681225
Industrial,36,10,Yes,Negligence,Medium,9,3,Yes,11,20,No,No,None,24.9900203088876,77.5819396043355,4.874456347669666,42.43936901676256
Commercial,31,9,No,Negligence,Small,50,4,No,6,1,No,No,1-3 years,28.3599176009547,60.72458576008812,3.2390880386851504,2.3
Residential,28,8,No,Chemical,Large,33,2,No,8,5,Yes,Yes,Over 3 years,20.833350516624783,75.96827210504613,2.639371297439784,16.286842792225844
Commercial,44,13,No,Negligence,Small,44,4,Yes,10,6,Yes,No,Within 1 year,29.183896540038223,73.8323307755373,3.640960068169447,28.677074143931613
Commercial,34,10,No,Negligence,Small,50,1,Yes,7,6,No,No,Over 3 years,25.522966589166508,69.90821561214665,2.781585240203891,13.173811409954691
Commercial,5,1,No,Chemical,Small,37,8,No,1,0,No,No,None,20.095981606180327,89.24027084739978,1.805561799439376,41.498784106998265
Industrial,16,4,Yes,Negligence,Small,44,7,Yes,6,12,No,No,None,26.65914576255524,79.81413359843724,1.084540156746871,67.077145141838
Commercial,29,8,No,Negligence,Small,34,7,Yes,6,5,No,No,Within 1 year,15.556488005426818,64.01209011382706,2.369380844019444,61.49836977012818
Industrial,9,3,Yes,Chemical,Medium,27,7,No,1,5,No,No,None,23.98586289193637,60.95849090267885,3.02023413575794,20.46596167495803
Residential,21,6,No,Chemical,Medium,48,6,No,7,4,No,No,None,21.426116723605315,56.20649422512553,3.1476479179038903,43.17137618482377
Residential,36,10,No,Chemical,Small,25,6,Yes,9,3,No,Yes,None,20.936718201231937,72.87110446159437,2.3922583816629657,12.943833562038993
Commercial,27,8,No,Chemical,Medium,16,6,Yes,6,2,No,No,None,17.41082352646591,57.41342825352552,3.796311546145716,14.395980943090482
Industrial,38,11,Yes,Chemical,Large,17,5,No,8,16,No,No,Over 3 years,25.85515328218238,91.7958773909664,2.815842504902024,61.34601447128827
Industrial,38,11,Yes,Negligence,Medium,32,2,Yes,11,5,Yes,Yes,1-3 years,29.7,92.57238855547986,4.170111976515065,67.70507118923521
Commercial,17,5,Yes,Chemical,Medium,44,6,No,2,0,No,No,Over 3 years,27.7589554754984,65.89371741188374,2.376332941707735,14.541567808689166
Residential,25,7,Yes,Chemical,Small,23,9,No,12,16,Yes,Yes,None,29.7,49.15976093080289,2.547602118258179,36.02011779196111
Commercial,27,7,Yes,Electrical,Medium,18,4,No,4,3,No,No,Over 3 years,19.265079356902817,85.14858864574205,3.154515196196265,60.85166115114683
Commercial,5,1,No,Negligence,Medium,39,8,No,1,0,No,No,None,19.303329748774704,75.53506609344907,2.064484937388344,54.91484851434964
Commercial,29,8,No,Electrical,Small,9,9,No,9,10,No,No,Within 1 year,27.917673454528405,94.8080776705174,0.6,29.15581036441571
Residential,18,5,No,Chemical,Medium,35,10,No,4,0,No,Yes,Over 3 years,15.1,63.17091685646184,0.6,25.98325646255164
Residential,5,1,No,Chemical,Medium,10,7,Yes,2,7,No,No,None,21.275862924142643,62.11223278969875,2.284494184932599,43.58955649003916
Residential,26,8,Yes,Chemical,Small,4,4,No,5,0,No,No,Within 1 year,24.35703879844348,89.84885380318238,2.269365066092321,64.7042534067507
Commercial,22,7,No,Electrical,Small,50,6,No,7,6,No,No,Within 1 year,25.533616279129795,99.29998616617846,2.8925173083350826,19.758388370430897
Commercial,15,4,No,Negligence,Medium,19,3,Yes,7,13,No,No,Within 1 year,28.700386880046874,70.82852952024867,3.200724015124597,41.88995934280327
Commercial,22,7,No,Negligence,Small,36,9,Yes,6,0,No,No,Over 3 years,17.22477842796925,72.45263099494649,2.58333429531232,45.78468484793075
Commercial,11,3,No,Chemical,Small,35,5,No,4,6,No,No,Within 1 year,18.1233114720548,84.5825644719284,2.763852565018547,42.040465479523874
Commercial,26,7,No,Negligence,Large,50,5,Yes,9,6,No,Yes,Within 1 year,15.307261236321091,70.69119581164118,4.9,2.3
Residential,20,6,Yes,Chemical,Small,5,7,Yes,6,2,No,Yes,Over 3 years,21.19373138264775,50.58318596967335,4.490135058368709,35.53146685546984
Commercial,19,6,No,Negligence,Small,31,6,Yes,8,12,No,No,Over 3 years,23.819188570360737,99.26628878428473,1.3749109851585366,78.63208554981551
Commercial,15,4,No,Chemical,Small,33,1,Yes,3,4,Yes,No,Within 1 year,22.920803847624978,86.8201234884719,3.318068162726352,18.084070098947706
Commercial,21,6,Yes,Chemical,Small,21,8,No,6,6,Yes,Yes,Within 1 year,19.26941113434748,54.69683157130602,3.2880014682173484,56.498113106857744
Commercial,23,7,No,Negligence,Small,43,6,Yes,8,9,No,No,Over 3 years,16.48692302496817,54.61400607540169,2.980234586204405,78.48222075579937
Commercial,16,5,Yes,Negligence,Small,3,2,No,5,9,No,No,1-3 years,21.60148452593669,99.4,0.6,18.37646509976354
Commercial,24,7,No,Negligence,Small,24,10,No,4,4,No,No,None,15.309825599636069,48.60055061247324,2.2837327902564315,35.821489812837655
Industrial,15,4,Yes,Chemical,Small,50,1,No,2,5,No,No,None,24.986248498693005,80.68136221429528,3.981529371929968,30.11599593023896
Commercial,22,6,Yes,Negligence,Large,27,4,Yes,7,8,No,Yes,Over 3 years,16.60188898772299,74.61134131161658,4.057723888287242,52.09033537833055
Industrial,23,7,Yes,Negligence,Small,2,6,No,3,2,No,Yes,Within 1 year,24.085263410023664,81.14244104877304,1.850724931777387,9.53247916270951
Residential,14,4,Yes,Negligence,Medium,12,7,Yes,2,6,No,Yes,Within 1 year,16.873777992598438,47.184661410625694,1.043324459845257,58.0154359364565
Commercial,23,7,No,Negligence,Medium,26,8,No,5,0,No,No,Within 1 year,24.443814464404333,81.74110593533854,0.6,35.51531007366329
Commercial,33,10,Yes,Negligence,Small,28,6,Yes,12,13,No,No,None,20.540943080975016,94.80601206882214,0.7461868498014155,18.165624917651225
Commercial,6,2,No,Chemical,Medium,44,10,No,1,0,No,No,Over 3 years,23.50582876762562,54.7683619486895,2.9417101126458505,2.3
Residential,21,6,No,Negligence,Large,0,8,No,2,5,No,No,Over 3 years,15.1,72.98511888368645,2.270126228967439,32.621515995910784
Commercial,36,10,Yes,Chemical,Small,31,5,Yes,8,9,No,No,Within 1 year,29.271663929689424,89.11828308518432,0.6,2.3
Residential,5,1,Yes,Negligence,Large,34,5,Yes,1,0,No,No,None,15.1,40.4,4.9,78.91973479105216
Commercial,35,10,No,Chemical,Medium,29,9,No,3,0,No,No,Over 3 years,24.80773686020424,40.4,2.269254430836134,2.3
Commercial,34,10,Yes,Chemical,Medium,29,4,Yes,8,2,No,No,Within 1 year,20.987955216498623,75.77660822594387,2.3652667719041034,17.951788990165408
Industrial,33,10,No,Chemical,Medium,42,5,Yes,11,17,No,No,None,24.26358736248939,99.4,1.180493324074493,46.93217716838292
Residential,21,6,Yes,Negligence,Small,8,5,Yes,6,14,No,No,None,22.36534991751639,87.8045916556066,2.503660644088152,58.10404394948095
Residential,24,7,No,Chemical,Small,39,5,No,3,1,No,No,Over 3 years,23.487781612568405,85.83803166838956,1.0735228632080822,41.80669405897865
Residential,31,9,No,Chemical,Small,18,7,No,8,8,No,No,Within 1 year,28.86546524490021,64.57810260369251,0.7804953578328895,64.96125450339943
Residential,5,1,Yes,Negligence,Medium,35,8,Yes,2,2,No,No,None,16.475221964264268,79.82894931167723,3.0928176111690058,46.546230606926045
Residential,26,7,Yes,Negligence,Small,25,4,Yes,5,3,No,Yes,Within 1 year,22.15955731913614,58.92962848217115,2.9309808601836465,4.129865344243108
Residential,18,5,No,Negligence,Medium,27,10,Yes,11,9,No,Yes,None,15.1,77.16354000237934,1.3864838063050091,46.22889089096178
Industrial,19,6,No,Negligence,Large,50,5,Yes,6,4,Yes,Yes,Within 1 year,24.07992809207221,85.76218259770522,2.8057969524454696,72.22827166700449
Residential,14,4,No,Negligence,Medium,24,6,Yes,7,10,No,No,Over 3 years,15.1,51.62608261401665,3.016578528787846,18.46369085983202
Residential,33,9,Yes,Chemical,Small,45,3,Yes,8,7,Yes,Yes,1-3 years,21.10411845111512,58.42854864918715,3.086421639523387,13.187244879015989
Residential,5,1,No,Chemical,Medium,39,3,No,1,2,No,No,1-3 years,25.897122960570467,64.81202788699396,3.1479648627807952,2.3
Commercial,14,4,No,Chemical,Small,19,7,No,6,12,No,No,None,22.951550709292736,67.89053645142748,3.044950691270525,16.131095469115763
Residential,42,12,No,Chemical,Large,18,5,No,9,12,No,Yes,None,18.158242073863555,94.41817436610384,1.2018389544406531,4.384121991738628
Residential,41,12,No,Negligence,Medium,21,6,Yes,14,9,No,Yes,Over 3 years,18.19215122927952,96.14975273766404,4.03954678822741,2.3
Residential,31,9,No,Chemical,Large,47,5,No,10,15,No,Yes,Over 3 years,29.502474122533293,94.46254333678374,1.6650080573754185,27.36243418913691
Commercial,5,2,Yes,Negligence,Large,27,8,Yes,6,2,No,No,Over 3 years,23.33635604445312,78.33147796759164,3.3081028801770254,72.92999392440687
Commercial,5,1,Yes,Chemical,Small,11,3,Yes,1,0,No,No,Within 1 year,19.739110056824583,59.735460091144695,3.960453047532148,47.76053984084265
Commercial,26,7,No,Negligence,Small,40,6,No,3,5,No,No,None,22.259227148843664,53.86317278545928,2.38734951413456,2.3
Industrial,37,11,No,Chemical,Medium,32,10,No,11,2,No,No,None,23.95739325736016,68.10527600619855,2.5825212864027605,56.89307902383264
Commercial,15,4,No,Negligence,Medium,50,7,No,2,3,No,No,Within 1 year,25.997280820292897,50.45998855755424,1.7572596920548191,38.92922820276254
Industrial,43,12,Yes,Chemical,Small,42,7,Yes,12,8,No,Yes,Over 3 years,23.380152780364984,65.84967483317871,1.0994468160480837,90.53739026319047
Commercial,25,8,Yes,Negligence,Large,23,5,Yes,9,14,No,Yes,Over 3 years,25.269091905701814,73.56687892229118,4.078754103568379,78.41313099113377
Industrial,25,7,Yes,Chemical,Medium,23,3,No,3,1,No,No,Over 3 years,25.626578272239485,58.18147778390848,1.431353899682303,60.72712302485402
Residential,29,9,Yes,Chemical,Large,3,4,Yes,7,4,Yes,Yes,Over 3 years,24.713638853343262,70.5294156628787,2.258421939840264,34.0257192334725
Residential,37,11,No,Negligence,Small,34,9,Yes,12,11,No,No,Within 1 year,22.45433370780631,82.50172951308579,4.335243917219997,55.0554314654744
Residential,21,6,No,Chemical,Small,14,6,No,5,2,No,No,None,24.65442536349873,79.01629411602875,1.9690397128775767,23.38593659435984
Industrial,35,10,No,Negligence,Medium,18,3,Yes,5,0,No,No,Within 1 year,18.67674440212533,75.13945207500929,3.167880946936414,2.3
Commercial,18,6,No,Negligence,Small,43,8,No,3,1,Yes,No,Over 3 years,22.55361999999092,85.42978817143485,1.118570126996075,56.81322995453316
Commercial,13,4,Yes,Negligence,Large,24,6,Yes,7,8,Yes,No,Within 1 year,20.58136720172194,61.8812251701786,3.091417015144722,69.69406156491945
Commercial,45,13,No,Negligence,Small,30,4,No,11,9,Yes,Yes,Within 1 year,21.184632321177364,92.04182322154372,0.6,72.10112577236927
Commercial,31,9,No,Electrical,Large,36,10,Yes,9,11,No,No,1-3 years,29.7,76.0995901767368,3.1028503919800845,25.55285505243308
Residential,24,7,Yes,Chemical,Medium,6,5,No,5,5,No,No,Over 3 years,24.771721802300902,50.61398824319727,2.5049188611164137,56.64789454211564
Commercial,14,4,No,Electrical,Medium,41,5,No,1,4,No,No,Within 1 year,17.50430713738385,62.03916396255621,3.557315683680854,2.3
Industrial,40,12,Yes,Negligence,Medium,16,7,No,9,7,No,Yes,None,24.419957853421863,63.567201628987455,1.917267625902572,28.63630345839379
Residential,5,1,No,Chemical,Small,26,6,No,4,3,Yes,No,Within 1 year,15.1,93.38758766995888,2.32247577351265,94.1
Industrial,5,1,No,Negligence,Small,34,5,No,1,6,No,No,Within 1 year,29.566514837912848,78.17096404010918,2.202154727137116,35.16573101254847
Residential,8,2,Yes,Electrical,Large,15,6,No,2,8,No,No,Within 1 year,24.48811635494121,76.23495532351586,3.530962093961092,2.3
Industrial,17,5,No,Electrical,Medium,44,7,No,3,0,No,No,1-3 years,18.76235707827877,59.76692140960257,2.3192548506340005,2.3
Industrial,11,3,Yes,Negligence,Small,22,7,Yes,6,3,No,No,Within 1 year,17.29987097206805,89.00052998301543,2.925645610972813,84.9296214513
Residential,39,11,No,Negligence,Large,38,8,Yes,13,6,No,No,Within 1 year,19.18290713559409,81.88317202345705,2.0283996223992578,37.590451925447965
Industrial,8,2,No,Negligence,Medium,29,8,Yes,5,7,No,No,Over 3 years,23.04284590623453,87.21483408492666,0.7486293979173533,63.656624125908834
Commercial,30,9,No,Electrical,Medium,40,6,Yes,7,4,No,No,Within 1 year,29.47141059831112,80.10679152696531,1.3779903335216628,40.96842857176981
Industrial,8,2,Yes,Negligence,Medium,43,6,Yes,4,3,No,No,Within 1 year,19.45073158608549,80.71495298693137,4.9,22.519714613819275
Commercial,35,10,No,Negligence,Small,39,6,No,5,6,Yes,No,None,20.14676213665056,79.59751743678193,0.6,15.237957639073436
Commercial,7,2,Yes,Chemical,Medium,25,6,Yes,7,6,No,No,Over 3 years,22.707999509871893,94.31949651352916,3.19651794521902,58.92378852526223
